transaction_id,amount,payment_method,failure_reason,customer_id,customer_transaction_count,customer_success_rate,customer_failure_rate,customer_total_spend,average_order_value,previous_retry_count,time_since_last_success,hour_of_day,day_of_week,merchant_success_rate,payment_method_success_rate,recent_failure_rate,recoverable,recovery_probability
tx_000109,5632427,netbanking,gateway_degradation,cust_00356,33,0.1212,0.8788,218839.35,6631.5,3,72,19,3,0.9009,0.819,0.8615,0,0.34
tx_000110,46387036,card,temporary_timeout,cust_00173,42,0.8095,0.1905,93379.26,2223.32,3,154,6,1,0.9009,0.969,0.0498,1,0.3331
tx_000111,41234833,upi,gateway_degradation,cust_00019,4,1.0,0.0,29075.25,7268.81,0,26,8,1,0.9009,0.8039,0.0,1,0.7342
tx_000112,16983436,upi,network_error,cust_00209,14,0.1429,0.8571,200613.92,14329.57,2,100,7,2,0.9009,0.8039,0.8958,1,0.58
tx_000113,29994873,upi,user_cancelled,cust_00044,27,0.9259,0.0741,147933.42,5479.02,5,63,8,6,0.9009,0.8039,0.0645,0,0.1281
tx_000114,38708274,upi,temporary_timeout,cust_00466,43,0.9302,0.0698,111531.51,2593.76,0,72,18,5,0.9009,0.8039,0.083,1,0.8069
tx_000115,35727901,card,user_cancelled,cust_00422,48,0.875,0.125,124910.57,2602.3,4,176,18,2,0.9009,0.969,0.0445,0,0.0715
tx_000116,38516031,emi,authentication_failed,cust_00463,20,0.85,0.15,209450.2,10472.51,0,168,2,1,0.9009,0.8416,0.2272,0,0.2675
tx_000117,40152413,wallet,user_cancelled,cust_00328,50,0.6,0.4,85676.07,1713.52,3,165,12,5,0.9009,0.9274,0.3202,0,0.0319
tx_000118,2170774,netbanking,user_cancelled,cust_00489,46,0.6087,0.3913,42633.82,926.82,3,130,10,3,0.9009,0.819,0.4402,0,0.02
tx_000119,9296225,card,network_error,cust_00132,27,0.8148,0.1852,114907.75,4255.84,1,53,20,6,0.9009,0.969,0.2624,1,0.3332
tx_000120,20916277,netbanking,temporary_timeout,cust_00370,3,1.0,0.0,155107.3,51702.43,2,76,6,2,0.9009,0.819,0.0193,1,0.5312
tx_000121,27583353,wallet,authentication_failed,cust_00251,52,0.6923,0.3077,57449.09,1104.79,2,123,11,5,0.9009,0.9274,0.3175,0,0.265
tx_000122,48381271,wallet,authentication_failed,cust_00003,31,0.9032,0.0968,231727.86,7475.09,3,67,20,1,0.9009,0.9274,0.1217,1,0.3226
tx_000123,15201291,upi,user_cancelled,cust_00071,3,0.3333,0.6667,184876.51,61625.5,3,129,7,1,0.9009,0.8039,0.6334,0,0.06
tx_000124,36065975,netbanking,insufficient_funds,cust_00176,26,0.9615,0.0385,172072.43,6618.17,1,56,1,2,0.9009,0.819,0.1321,1,0.2329
tx_000125,14779481,netbanking,authentication_failed,cust_00298,35,0.9429,0.0571,69889.28,1996.84,1,158,1,4,0.9009,0.819,0.0,0,0.3359
tx_000126,9339422,emi,gateway_degradation,cust_00130,9,0.8889,0.1111,147270.37,16363.37,1,22,7,0,0.9009,0.8416,0.1789,0,0.3883
tx_000127,35658378,netbanking,gateway_degradation,cust_00293,24,0.9167,0.0833,150642.8,6276.78,0,74,17,6,0.9009,0.819,0.1412,0,0.5234
tx_000128,46121764,netbanking,user_cancelled,cust_00128,39,0.6667,0.3333,179581.18,4604.65,5,177,2,6,0.9009,0.819,0.1624,0,0.02
tx_000129,16344468,upi,insufficient_funds,cust_00057,54,0.7037,0.2963,234042.87,4334.13,2,46,16,3,0.9009,0.8039,0.2663,1,0.2298
tx_000130,12702714,emi,network_error,cust_00275,5,0.8,0.2,58204.49,11640.9,2,107,16,4,0.9009,0.8416,0.2603,0,0.3557
tx_000131,29441896,card,insufficient_funds,cust_00033,23,0.5217,0.4783,175076.93,7612.04,3,163,10,0,0.9009,0.969,0.378,0,0.0804
tx_000132,6866704,emi,authentication_failed,cust_00201,18,0.4444,0.5556,195610.29,10867.24,5,173,7,6,0.9009,0.8416,0.6105,0,0.175
tx_000133,23470211,emi,temporary_timeout,cust_00184,16,0.875,0.125,11639.95,727.5,2,163,13,1,0.9009,0.8416,0.1423,1,0.4431
tx_000134,31366269,upi,insufficient_funds,cust_00348,53,0.5472,0.4528,49853.56,940.63,1,59,9,1,0.9009,0.8039,0.3989,0,0.2212
tx_000135,14528043,card,insufficient_funds,cust_00172,5,0.8,0.2,4163.37,832.67,3,133,6,6,0.9009,0.969,0.1706,0,0.0948
tx_000136,2982998,wallet,insufficient_funds,cust_00455,56,0.7143,0.2857,35336.1,631.0,4,39,10,6,0.9009,0.9274,0.3837,0,0.1633
tx_000137,22213698,card,temporary_timeout,cust_00349,56,0.9643,0.0357,62046.75,1107.98,3,155,0,0,0.9009,0.969,0.0368,0,0.396
tx_000138,43474623,wallet,user_cancelled,cust_00040,7,0.7143,0.2857,21568.86,3081.27,3,117,15,6,0.9009,0.9274,0.2943,0,0.0387
tx_000139,2290966,netbanking,network_error,cust_00306,14,0.8571,0.1429,24695.98,1764.0,0,99,2,3,0.9009,0.819,0.2008,0,0.4686
tx_000140,21040112,wallet,authentication_failed,cust_00375,16,0.9375,0.0625,171697.65,10731.1,0,90,4,6,0.9009,0.9274,0.2208,1,0.4116
tx_000141,24766404,wallet,temporary_timeout,cust_00169,24,0.9583,0.0417,29406.25,1225.26,5,89,17,5,0.9009,0.9274,0.0,1,0.6256
tx_000142,35423815,emi,gateway_degradation,cust_00097,25,0.84,0.16,25228.73,1009.15,3,166,14,1,0.9009,0.8416,0.2092,1,0.343
tx_000143,30857120,card,user_cancelled,cust_00153,52,0.9423,0.0577,36710.0,705.96,0,103,21,0,0.9009,0.969,0.1743,0,0.1676
tx_000144,23608427,wallet,gateway_degradation,cust_00156,28,0.8571,0.1429,101306.58,3618.09,1,91,11,6,0.9009,0.9274,0.0246,1,0.57
tx_000145,14674304,netbanking,authentication_failed,cust_00218,32,0.9688,0.0312,213409.5,6669.05,3,63,15,6,0.9009,0.819,0.0,1,0.357
tx_000146,9076274,upi,temporary_timeout,cust_00196,17,0.8824,0.1176,231901.38,13641.26,4,5,8,1,0.9009,0.8039,0.1785,0,0.6512
tx_000147,30792429,emi,authentication_failed,cust_00143,58,0.7931,0.2069,193141.05,3330.02,5,167,20,0,0.9009,0.8416,0.0979,0,0.1925
tx_000148,13173343,card,insufficient_funds,cust_00372,36,0.5833,0.4167,68022.72,1889.52,2,142,23,2,0.9009,0.969,0.6053,0,0.0802
tx_000149,41615726,netbanking,authentication_failed,cust_00104,21,0.9048,0.0952,91914.92,4376.9,3,66,3,2,0.9009,0.819,0.2057,1,0.2239
tx_000150,34503604,netbanking,temporary_timeout,cust_00368,42,0.881,0.119,29368.19,699.24,1,139,20,5,0.9009,0.819,0.2161,1,0.4774
tx_000151,34889948,upi,gateway_degradation,cust_00184,16,0.875,0.125,11639.95,727.5,0,163,12,5,0.9009,0.8039,0.0823,0,0.7216
tx_000152,43134262,card,network_error,cust_00000,39,0.7949,0.2051,214720.18,5505.65,4,79,20,0,0.9009,0.969,0.1745,1,0.2993
tx_000153,36762571,netbanking,user_cancelled,cust_00044,27,0.9259,0.0741,147933.42,5479.02,1,63,11,3,0.9009,0.819,0.111,0,0.1663
tx_000154,25058008,netbanking,temporary_timeout,cust_00443,27,0.1852,0.8148,124399.32,4607.38,5,139,23,2,0.9009,0.819,0.8975,1,0.395
tx_000155,4957815,upi,authentication_failed,cust_00075,30,0.9667,0.0333,139021.91,4634.06,5,5,2,4,0.9009,0.8039,0.07,1,0.3938
tx_000156,18360724,netbanking,temporary_timeout,cust_00413,39,0.8718,0.1282,80439.1,2062.54,2,154,12,1,0.9009,0.819,0.254,1,0.4545
tx_000157,43250539,wallet,gateway_degradation,cust_00231,53,0.8868,0.1132,132620.74,2502.28,2,163,0,1,0.9009,0.9274,0.0,0,0.4918
tx_000158,34708273,card,authentication_failed,cust_00287,32,0.9375,0.0625,142698.49,4459.33,5,141,20,0,0.9009,0.969,0.0886,1,0.232
tx_000159,14809614,card,temporary_timeout,cust_00118,41,0.6829,0.3171,191098.89,4660.95,4,94,4,6,0.9009,0.969,0.4005,0,0.3058
tx_000160,29627034,card,user_cancelled,cust_00053,20,0.45,0.55,229044.96,11452.25,2,20,18,5,0.9009,0.969,0.5311,0,0.02
tx_000161,48558593,card,network_error,cust_00179,43,0.8837,0.1163,209157.92,4864.14,1,30,9,1,0.9009,0.969,0.2665,0,0.3791
tx_000162,39623928,netbanking,gateway_degradation,cust_00305,36,0.9722,0.0278,34879.49,968.87,4,13,18,3,0.9009,0.819,0.0,1,0.4743
tx_000163,37323486,netbanking,authentication_failed,cust_00446,35,0.8,0.2,25725.99,735.03,1,68,20,2,0.9009,0.819,0.3571,0,0.2257
tx_000164,20874781,emi,authentication_failed,cust_00454,9,0.8889,0.1111,115700.94,12855.66,1,8,12,6,0.9009,0.8416,0.2591,1,0.2881
tx_000165,6892491,emi,authentication_failed,cust_00243,47,0.3404,0.6596,13214.64,281.16,0,56,20,6,0.9009,0.8416,0.5495,0,0.1752
tx_000166,4891880,wallet,user_cancelled,cust_00375,16,0.9375,0.0625,171697.65,10731.1,0,90,21,6,0.9009,0.9274,0.1129,0,0.2107
tx_000167,13142011,emi,card_declined,cust_00362,15,0.8,0.2,120411.6,8027.44,4,137,1,5,0.9009,0.8416,0.279,0,0.02
tx_000168,34878819,upi,network_error,cust_00234,22,0.8636,0.1364,71170.11,3235.0,1,157,22,0,0.9009,0.8039,0.2032,1,0.6366
tx_000169,19033124,wallet,user_cancelled,cust_00293,24,0.9167,0.0833,150642.8,6276.78,5,74,11,1,0.9009,0.9274,0.0,0,0.1479
tx_000170,28599910,netbanking,user_cancelled,cust_00168,17,0.9412,0.0588,78955.45,4644.44,0,144,1,3,0.9009,0.819,0.0,0,0.1874
tx_000171,31090360,upi,card_declined,cust_00202,6,0.8333,0.1667,183237.17,30539.53,4,21,4,4,0.9009,0.8039,0.0969,0,0.0344
tx_000172,30329511,netbanking,temporary_timeout,cust_00473,27,1.0,0.0,120993.13,4481.23,4,127,2,0,0.9009,0.819,0.0,0,0.4874
tx_000173,16583541,netbanking,card_declined,cust_00136,40,0.875,0.125,166588.34,4164.71,0,179,9,4,0.9009,0.819,0.0,0,0.1634
tx_000174,29693140,emi,insufficient_funds,cust_00449,9,0.8889,0.1111,30040.57,3337.84,5,75,14,2,0.9009,0.8416,0.1727,0,0.1632
tx_000175,18529474,card,user_cancelled,cust_00169,24,0.9583,0.0417,29406.25,1225.26,3,89,6,2,0.9009,0.969,0.0,0,0.1012
tx_000176,18700507,card,gateway_degradation,cust_00187,50,0.88,0.12,159578.38,3191.57,5,152,22,2,0.9009,0.969,0.3022,1,0.2756
tx_000177,1902356,upi,insufficient_funds,cust_00252,16,0.875,0.125,12618.04,788.63,4,167,20,2,0.9009,0.8039,0.1007,0,0.26
tx_000178,30452554,card,network_error,cust_00286,25,0.68,0.32,185558.24,7422.33,5,93,23,1,0.9009,0.969,0.4196,0,0.2832
